product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
knack,Knack is an Amazing Tool,"I found Knack when I was searching for a tool that would help me to build a simple cloud based lead tracking application for my small law firm (two lawyers) to use. I have a dabbler's technical background in the sense that I have fooled around with Microsoft Access and Visual Basic for Applications - not a particularly high level mind you - barely beyond Hello World stuff. Well, maybe a little beyond that. I was looking for a tool that would allow me to develop something in the cloud and boy did I find it with Knack. I didn't know that Knack existed, but it was exactly what I wanted to exist and I was blown away when I actually discovered that it in fact existed. I was familiar enough with relational databases through my limited experience with Access that I was able to pretty much immediately start using Knack. I had a rough version of the application I wanted to develop put together in a couple days really. (Not a huge feat, really since what I wanted was really pretty simple). But we used it every day and came to really rely on it. It has become absolutely a part of the business. The ability to have this cloud based application, available on our phones or wherever we have computer access has been incredible and the platform itself works like magic. I spent hours wrestling with Access in setting up subforms and reports and such and developing queries and all of that. Knack takes care of that sort of heavy lifting behind the scenes. From my experience with Access, I know that it really is heavy lifting too, which is why I appreciate it so much. I used to design my websites in Dreamweaver, but as the technical expertise required to build sites well started to increase well beyond my ability to use Dreamweaver, I discovered Squarespace. Squarespace for me was the answer to my prayers, because it gave me the freedom to create sites that were technically pretty sophisticated and modern but in a way that shielded me from the need to have the technical expertise to execute it well. Knack is like Squarespace in this way. In fact, since many people who design sites might have use for cloud based applications that Knack can provide, I would think that Knack and Squarespace ought to be able to find ways to work with each other. They both occupy the same sort of space - providing people without the increasingly sophisticated skills required to build nice things (websites or custom database applications) the ability to build those nice things.",Don M.,5.0,"June 26, 2016","I love the way it shields me from what I know to be complex and tricky issues involved in putting together an application built around a relational database. I know the agony of wrestling with figuring out how to do things with relational databases and it just makes me so happy to be able to create a wonderfully stable application that works in the cloud - without the torture of having to figure out why my SQL query isn't working as I thought it would, etc. It just works, and I am shielded from the coding. I don't have to know what a SQL query is. To me this is just plain magic.","Hard to come up with something I am not really happy about with it. I guess everything could be improved with more features and options and such, but I see that as mostly window dressing. The guts of this thing are amazing. I'm sure the future will see more features and more ways to style the applications and such, but the magic is built in now.",Partner,Legal Services,Used the software for: 1-2 years
knack,Knack can knock out work!,,Verified Reviewer,5.0,"March 31, 2022","Knack is a great tool, especially for internal projects or B2B customer projects -- once built an entire group texting platform using Knack, Zapier, & low-code Twilio!",wish there were more options for the front end so could use in more consumer-facing applications record-based pricing is hurting overall industry -- right company will find way to price differently,Founder,Marketing and Advertising,Used the software for: 2+ years
knack,Just what I needed,,Holly S.,5.0,"April 9, 2018","This is Everything I need from a database & simple interface builder. I took a long time evaluating existing products for my business programs to no avail, and decided I needed custom solutions. As a nonprofit I know we couldn't afford paying someone to do it so I took it upon myself to research options & move forward. Knack was my first intro to ""no code"" cloud app builder and I love it. I check around every 6 months or so to see what competition is out there, I've yet to find anything I enjoy using quite as much.","That apps cannot integrate / stay in sync. It's going to take a lot of extra work to integrate all my company's apps, as it is not feasible for all our programs / branches to use one app, and some information needs to be in sync across all apps. I just know by the time I've finally done it, they will have built in the feature / option...",Travel Manager,Sports,Used the software for: 1-2 years
knack,Very Disappointed,,Verified Reviewer,2.0,"June 6, 2017","Look of the app is very nice. The ""Builder"" they have come up with is innovative, not your normal database building tool. It takes some getting used to. There are some limitations to it, that other databases don't have.","Very poor customer support, if you are on the lowest plan. They will not pick up the phone and call you, nor can you call them. They claim a response time of between 24 and 48 hours....not true. I am now having support requests unanswered for 4 days. Their blog and self-help support site are very poor. There is no main office or phone number, they all work from their homes across the US. Apparently, they don't have titles and they think it's funny to post pictures of themselves on their website with funny made up titles in the organization. This organization needs to grow up and get serious. I will terminate my plan with them and ask for a full refund if things don't improve dramatically in the next day or two.",Used the software for: Less than 6 months,,
knack,Neat product depending on your needs,"Overall, Knack is a fine product, and it was easy to implement and use. However, I do think there are better products out there, and I didn't find it to be worth the price tag given our needs. It might be more valuable for those who want to use it as a full database rather than using pieces of it.",Verified Reviewer,5.0,"April 8, 2019","My company used Knack as a recruiting tool - we had applicants create a profile and apply through the site for various job postings - and it was fairly easy to set up. The system itself was easy to navigate, and it kept the records organized nicely.","It's possible that using Knack as a full database provides better results than using it as a recruiting solution, but it did seem limited in features for our purposes. We've used other database products that have a lot more features and functions in addition to being much more customizable.",Director Of Operations,Design,Used the software for: 1-2 years
knack,great online database,We have an employee base that covers the United States. Before we used the Knack software we had each person filling out individual Excel spreadsheets. We would then have to manually combine these spreadsheets to get information from the entire sales force. With the Knack software we are able to allow our employees to log the information into the Knack site and we now have access to the full information quickly and easily.,Brett W.,5.0,"November 20, 2018",The Knack software is easy to use to set up forms and pages to collect information online.,The software can take a little getting used to when you first start out. I would think this is normal for any advanced system like this.,Information Technology Manager,Program Development,Used the software for: 2+ years
knack,Wonderful!,,Verified Reviewer,5.0,"March 1, 2018",Ability to customize databases; real-time updates; many template options to choose from; customer service is excellent. I've used this several times for an annual holiday website. Our users were so impressed and became repeat donors.,customer service agent and his staff were very helpful as I extensively redesigned a template to serve our varied needs. I have been very satisfied and think the only confusion I ran into is customized differences between mobile and website versions.,New Media Content Manager,Used the software for: 2+ years,
knack,"Easy to use, fast to build with, would highly recommend",We used this platform to build out a software product we wanted to offer to our customers. We used one of their partners and the whole process was amazingly fast and simple and cost about 10% of what it would have done if we had tried to code a solution.,Verified Reviewer,5.0,"December 13, 2020",EU hosting Pricing not set on a per client level. Easy to build with and deploy.,Some of their competitors have a wider feature set.,co-founder,Staffing and Recruiting,Used the software for: Less than 6 months
knack,Knack,Knack has helped us systematize our quoting process. Everything is so much quicker with knack.,Emmarose D.,5.0,"February 4, 2020","Though I do not use the more behind the scenes features of knack, I use it every day. We use it as a program to quote our products to clients. This has reduced the quoting time from 30 minutes to 30 seconds.","I have no qualms with anything about knack. I do not use the programming end of the software, but the user side is very convenient.",Office Administrator,Construction,Used the software for: 1-2 years
knack,Customizable features for our Spa's client records,"Increased communication between staff and clients, accurate record keeping for all clients, and for all staff to access!",Maxwell B.,4.0,"September 5, 2017","How customizable it is to our ever changing needs as the company grows and changes! We are able to access it on multiple devices at once, and have different log ins for each employee!","Have experienced software shutdowns that have slowed business, not always able to do what we need, but there is usually a work-around!",Operations Manager,Consumer Services,Used the software for: 2+ years
knack,Easiest platform for developing a customized work system the code-less way,"Knack connects up to so many other 3rd party apps through Zapier that the options are potentially limitless. We've been able to cancel our SalesForce subscription and came up with your own custom CRM using Knack. It's affordable, the support is great and it's feature rich.",Chris B.,5.0,"September 26, 2018","Easy to get up and running on. Quickly map out data elements and connect to layout without having to code Javascript. If you do know Javascript, you can customize the workflow and experience even more.",There are no additional web themes without paying a developer to customize.,IT Director,Staffing and Recruiting,Used the software for: 1-2 years
knack,Geek candy for a middle-of-the-pack geek!,"What's geek candy? It's that little moment of excitement you got when you opened up that sweet lego set, or figured out your phone can do ""talk to text."" I'm a middle-of-the-pack kind of geek... better than some geeks and worse than equally as many. What's cool about Knack is that it can offer something for everyone. I have used it to give us much more insight into our business. We can track progress and make better decisions.",Jacob H.,5.0,"August 25, 2016","Knack is easy to use, they listen to their customers and the pricing structure is awesome.",The app layout through the UI is limited.,Operations Manager,Legal Services,Used the software for: 1-2 years
knack,Excellent tool for non-technical process managers,Exceptionally pleased with the SaaS product,Eric F.,5.0,"February 11, 2021",Very quick to develop applications by non-technical people,Supports one-by-one processing of cases. Not very good at bulk processing a subset of cases on demand.,COO,Accounting,Used the software for: Less than 6 months
knack,Slow Support,Can't fiinish my application.,Rafael S.,2.0,"May 8, 2022",The system if friendly for using. But there is nothing more than that. The tool problems are bigger than any good thing.,"There are BUGs witch can stop your development. And there will be no support agent to help you. I'm on a week trying to solve two noticed bugs. In one case, I have created two links, but dependind on where they are in the page, one works with the action of the other.",CEO,Translation and Localization,Used the software for: Less than 6 months
